id,market_or_locale,language,game_scope,source_name,url,status,notes
REG-0001,Japan,Japanese,XY,Pokémon official JP X/Y product page,https://www.pokemon.co.jp/ex/xy/product/,reviewed,"Japanese comparison-origin product source."
REG-0002,Japan,multilingual,XY,Pokémon official JP X/Y language page,https://www.pokemon.co.jp/ex/xy/system/02.html,reviewed,"Seven selectable languages; language is distinct from market/region."
REG-0003,North America,English,XY,Pokémon.com US X/Y product page,https://www.pokemon.com/us/pokemon-video-games/pokemon-x-and-pokemon-y,reviewed,"Official English-localized feature terminology."
REG-0004,United Kingdom,English,XY,Pokémon.com UK X/Y product page,https://www.pokemon.com/uk/pokemon-video-games/pokemon-x-and-pokemon-y?lang=en_GB,reviewed,"UK English-localized official page; compare with US English wording."
REG-0005,France,French,XY,Pokémon.com France X/Y product page,https://www.pokemon.com/fr/jeux-video-pokemon/pokemon-x-et-pokemon-y,reviewed,"Official French-localized terminology and features."
REG-0006,Spain,Spanish,XY,Pokémon.com Spain X/Y product page,https://www.pokemon.com/es/videojuegos-pokemon/pokemon-x-y-pokemon-y,reviewed,"Official Spanish-localized terminology and features."
REG-0007,Germany,German,XY,Pokémon.com Germany X/Y product page,https://www.pokemon.com/de/pokemon-videospiele/pokemon-x-und-pokemon-y,reviewed,"Official German-localized terminology and features."
REG-0008,Italy,Italian,XY,Pokémon.com Italy X/Y product page,TBD,missing,"Italian is a supported in-game language, but the historical/current dedicated X/Y product endpoint has not yet been recovered; keep as explicit gap."
REG-0009,Korea,Korean,XY,Nintendo Korea X/Y preview event 2013-09-07,https://www.nintendo.com/kr/event/pkm_event4/index.html,reviewed,"Pre-release hands-on event; contemporary Korean wording and worldwide 2013-10-12 release statement."
REG-0010,Korea,Korean,XY,Nintendo Korea X/Y preview event 2013-11-02,https://www.nintendo.com/kr/event/pkm_event10/index.html,reviewed,"Post-launch hands-on event."
REG-0011,Korea,Korean,XY,Nintendo Korea Team Flare / trade event,https://www.nintendo.com/kr/event/pkm_event12/index.html,reviewed,"Double battle flat-rule activity, version-exclusive trading and Korean retail-copy requirement."
REG-0012,Korea,Korean,XY,Nintendo Korea Team Flare event 2013-12,https://www.nintendo.com/kr/event/pkm_event14/index.html,reviewed,"Additional regional event page; retain independently rather than collapsing event series."
REG-0013,Korea,Korean,XY,Nintendo Korea trade/evolution and battle event 2014-02,https://www.nintendo.com/kr/event/pkm_event17/index.html,reviewed,"Documents special Scizor/Gengar trade event and flat-rule battle activity."
REG-0014,Korea,Korean,XY,Nintendo Korea Pokémon Town 2014,https://www.nintendo.com/kr/event/pkm_event20/index.html,reviewed,"Documents single/rotation flat-rule battles and Pokémon-Amie event usage."
REG-0015,Korea,Korean,XY+ORAS,Nintendo Korea Champions Day 2014,https://www.nintendo.com/kr/event/pkm_event22/index.html,reviewed,"Transition-period source containing X/Y activity plus ORAS quiz and Special Demo hands-on/download code."
REG-0016,Korea,Korean,XY,Nintendo Korea X/Y tournament rules PDF,https://www.nintendo.com/kr/event/pkm_event13/pkm_mega.pdf,reviewed,"Official tournament rules with National Dex 001-718 restrictions and battle conditions."
REG-0017,North America,English,XY,Nintendo of America X/Y update history,https://en-americas-support.nintendo.com/app/answers/detail/a_id/1061/p/605/c/950,reviewed,"Official regional patch chronology Ver.1.1 through Ver.1.5."
REG-0018,North America,English/French/Spanish,XY,Nintendo of America Nintendo 3DS manuals index,https://en-americas-support.nintendo.com/app/answers/detail/a_id/16903/,located,"Indexes X/Y manuals in multiple languages; individual PDFs/pages still require enumeration."
REG-0019,Europe,multiple,XY,Nintendo Europe/UK X/Y support and manuals,TBD,missing,"Required regional family; locate historical support/update/manual pages and archived captures."
REG-0020,Hong Kong/Taiwan,Chinese/region-specific,XY,Nintendo regional X/Y official material,TBD,missing,"Required market family; locate product, support, event and patch sources independently."
